PMID,Title,Source,Doi,Author_1,Author_2,Author_3,Author_4,Author_5,Author_6,Author_7,Author_8,Author_9,Author_10,Author_11,Author_12,Author_13,Author_14,Author_15,Author_16,Author_17,Author_18,Author_19,Author_20,Collective_Name,PubYear,PubMonth,PubDay,OriginalPubDate,Abstract,DOI,DOI_Link,PMC_ID,PMC_Link,MeSH_1,Keyword_1,MeSH_2,Keyword_2,MeSH_3,Keyword_3,MeSH_4,Keyword_4,MeSH_5,Keyword_5,MeSH_6,Keyword_6,MeSH_7,Keyword_7,MeSH_8,Keyword_8,MeSH_9,Keyword_9,MeSH_10,Keyword_10,MeSH_11,Keyword_11,MeSH_12,Keyword_12,MeSH_13,Keyword_13,MeSH_14,Keyword_14,MeSH_15,Keyword_15,MeSH_16,Keyword_16,MeSH_17,Keyword_17,MeSH_18,Keyword_18,MeSH_19,Keyword_19,MeSH_20,Keyword_20,MeSH_21,Keyword_21,MeSH_22,Keyword_22,MeSH_23,Keyword_23,MeSH_24,Keyword_24,MeSH_25,Keyword_25,MeSH_26,Keyword_26,MeSH_27,Keyword_27,MeSH_28,Keyword_28,MeSH_29,Keyword_29,MeSH_30,Keyword_30
"11171732","The pulmonary and systemic distribution and elimination of perflubron from adult patients treated with partial liquid ventilation.","Chest","","Reickert C","Pranikoff T","Overbeck M","Kazerooni E","Massey K","Bartlett R","Hirschl R","","","","","","","","","","","","","","","2001","Feb","","2001 Feb","OBJECTIVE: To assess the pulmonary and systemic distribution and elimination of perflubron (C(8)F(17)Br(1); LiquiVent; Alliance Pharmaceutical; San Diego, CA) during and following the period of partial liquid ventilation. DESIGN: Prospective phase I and II clinical trial. SETTING: Adult surgical ICU. PATIENTS: Eighteen adult patients (mean +/- SEM age, 37.9 +/- 3.4 years) with severe respiratory failure, some of whom required extracorporeal life support (72%), and who were managed with partial liquid ventilation with perflubron. INTERVENTIONS: Perflubron was administered into the trachea, and gas ventilation of the perfluorocarbon-filled lung (partial liquid ventilation) was then performed. Additional doses were administered daily for from 1 to 7 days, with a median cumulative dose of 31 mL/kg (range, 3 to 60 mL/kg). MEASUREMENTS AND MAIN RESULTS: Patient blood samples were evaluated by gas chromatography for serum perflubron levels. Sequential lateral and anteroposterior radiographs were assessed, using a 5-point rating scale, for the degree of perflubron fill following the final dose. Samples of expired gas were collected, and the rate of loss of perflubron in the expired gas was measured by gas chromatography. Mean serum perflubron levels increased to 0.16 +/- 0.05 mg/dL at 24 h following administration of the initial dose. A mean maximum level of 0.26 +/- 0.05 mg/dL of perflubron was present in the serum 24 h following the administration of the last dose. This level slowly trended downward to 0.18 +/- 0.06 mg/dL over the ensuing 7 days (p = 0.281). Perflubron elimination via expired gas occurred at a mean rate of 9.4 +/- 3.0 mL/h at 1 h, and 1.0 +/- 0.4 mL/h at 48 h after the last dose (p = 0.012). By radiologic evaluation, perflubron was eliminated from the lungs progressively from 4.2 +/- 0.2 at the time of administration of the last dose, to 2.8 +/- 0.3 at 4 days later (p < 0.001). Perflubron tended to distribute and remain for longer periods in the dependent regions of the lung when compared to the nondependent regions (96-h perflubron fill score: posterior, 3.8 +/- 0.5; anterior, 1.9 +/- 0.4; p = 0.004). CONCLUSIONS: Perflubron is eliminated at a maximum rate of 9.4 +/- 3.0 mL/h by evaporative loss from the airways and is retained in greater amounts in the dependent lung regions when compared to the nondependent lung regions. There is a low but measurable maximum blood concentration of 0.26 +/- 0.05 mg/dL in patients after perflubron administration, which did not decrease significantly after cessation of partial liquid ventilation.","10.1378/chest.119.2.515","https://doi.org/10.1378/chest.119.2.515","","","Adult","","Contrast Media","","Fluorocarbons","","Humans","","Hydrocarbons, Brominated","","Liquid Ventilation","","Middle Aged","","Prospective Studies","","Pulmonary Gas Exchange","","Respiratory Insufficiency","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11373465","Pharmacokinetics and pharmacodynamics of ranitidine in critically ill children.","Crit Care Med","","Lugo RA","Harrison AM","Cash J","Sweeley J","Vernon DD","","","","","","","","","","","","","","","","","2001","Apr","","2001 Apr","OBJECTIVE: To determine the pharmacokinetics and pharmacodynamics of ranitidine in critically ill children and to design a dosage regimen that achieves a gastric pH > or =4. DESIGN: Prospective, open-label, pharmacokinetic-pharmacodynamic study. SETTING: Pediatric intensive care unit in a tertiary care children's hospital. PATIENTS: Mechanically ventilated, critically ill children > or =10 kg who required intravenous ranitidine for stress ulcer prophylaxis. INTERVENTIONS: Ranitidine pharmacokinetics were determined after a single intravenous dose. Gastric pH was monitored hourly via nasogastric pH probe. After the last blood sample, patients received an intravenous bolus of ranitidine (0.5 mg/kg) followed by a continuous infusion (0.1 mg x kg(-1) x hr(-1)). The infusion was increased incrementally (0.05 mg x kg(-1) x hr(-1)) until reaching gastric pH > or =4 for > or =75% of a 24-hr period, after which steady-state plasma concentrations were measured. Plasma concentrations were analyzed by high-pressure liquid chromatography. MEASUREMENTS AND MAIN RESULTS: Twenty-three children (ranging in age from 1.4 to 17.1 yrs) were studied. Pharmacokinetic variables included a clearance of 511.7 +/- 219.7 mL x kg(-1) x hr(-1), volume of distribution of 1.53 +/- 0.99 L/kg, and half-life of 3.01 +/- 1.35 hrs. After the single intravenous dose (1.52 +/- 0.47 mg/kg), gastric pH increased from 1.6 +/- 1.0 to 5.1 +/- 1.1 (p <.001), which was associated with a plasma concentration of 373 +/- 257 ng/mL. Based on the pharmacokinetic variables, the dose of intravenous ranitidine required to target 373 ng/mL as the average steady-state concentration is 1.5 mg/kg administered every 8 hrs. During the continuous infusion, the mean steady-state ranitidine concentration associated with gastric pH > or =4 was 287 +/- 133 ng/mL. This concentration may be achieved with an intravenous loading dose of 0.45 mg/kg followed by a continuous infusion of 0.15 mg x kg(-1) x hr(-1). CONCLUSIONS: The pharmacokinetics of ranitidine in critically ill children are variable. The description of ranitidine's pharmacokinetics and pharmacodynamics in this study may used to design an initial ranitidine dosage regimen that targets a gastric pH > or =4. Thereafter, gastric pH should be monitored and the dose of ranitidine adjusted accordingly.","10.1097/00003246-200104000-00014","https://doi.org/10.1097/00003246-200104000-00014","","","Adolescent","","Anti-Ulcer Agents","","Child","","Child, Preschool","","Critical Care","","Female","","Gastric Mucosa","","Humans","","Hydrogen-Ion Concentration","","Infant","","Infusions, Intravenous","","Injections, Intravenous","","Intensive Care Units, Pediatric","","Male","","Metabolic Clearance Rate","","Prospective Studies","","Ranitidine","","Respiration, Artificial","","Tissue Distribution","","","","","","","","","","","","","","","","","","","","","","",""
"12130913","Support of respiratory failure in the pediatric surgical patient.","Curr Opin Pediatr","","Hirschl RB","","","","","","","","","","","","","","","","","","","","","2002","Aug","","2002 Aug","Severe respiratory failure in newborn and pediatric patients is associated with significant morbidity and mortality. Basic science laboratory investigation has led to advances in the understanding of ventilator-induced lung injury and in optimizing the supportive use of conventional ventilation strategies. Over the past few years, progress has been made in alternative therapies for supporting children and adults with severe respiratory failure. This review will focus on recent laboratory and clinical data regarding the techniques of lung protective ventilator strategies, inhaled nitric oxide, liquid ventilation, and extracorporeal life support (ECLS, ECMO). Some of these modalities are commonplace, while others may have much to offer the pediatric clinician if their benefit is clearly demonstrated in future clinical trials.","10.1097/00008480-200208000-00019","https://doi.org/10.1097/00008480-200208000-00019","","","Adolescent","","Adult","","Age Factors","","Child","","Child, Preschool","","Humans","","Infant","","Infant, Newborn","","Respiratory Insufficiency","","Surgical Procedures, Operative","","Ventilators, Mechanical","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12632336","A prospective, randomized pilot trial of perfluorocarbon-induced lung growth in newborns with congenital diaphragmatic hernia.","J Pediatr Surg","","Hirschl RB","Philip WF","Glick L","Greenspan J","Smith K","Thompson A","Wilson J","Adzick NS","","","","","","","","","","","","","","2003","Mar","","2003 Mar","BACKGROUND/PURPOSE: Initial laboratory and clinical data suggest that partial liquid ventilation (PLV) can enhance pulmonary function and that lung growth can be induced via distension of the newborn lung using perfluorocarbon in patients with congenital diaphragmatic hernia (CDH). The authors, therefore, performed a prospective, randomized pilot study evaluating PLV and perfluorocarbon-induced lung growth (PILG) in newborns with CDH on extracorporeal life support (ECLS) at 6 medical centers. METHODS: Patients were selected randomly using a permuted block design to PLV/PILG (n = 8) or conventional mechanical ventilation (CMV/control, n = 5). Patients in the PILG group received daily doses which filled the lungs with perflubron for up to 7 days and were placed on continuous positive airway pressure of 5 to 8 cm H2O. CMV patients were treated with standard mechanical ventilation while on extracorporeal membrane oxygenation (ECMO). RESULTS: A total of 13 patients were evaluated in this study. All 3 patients enrolled without being on ECLS rapidly transitioned to ECLS. The study, therefore, effectively evaluated PILG (n = 8) versus standard ventilation (control, n = 5) on ECLS. Mean (+/- SE) gestational age was 37 +/- 1 weeks and weight was 3.1 +/- 0.1 kg. Time on ECMO was 9.8 +/- 2.3 days in the PILG and 14.5 +/- 3.5 days (P =.58) in the control group. Survival rate in the PILG group was 6 of 8 (75%), whereas survival rate was 2 of 5 (40%) in the control group (P =.50). The number of days free from the ventilator in the first 28 days (VFD) was 6.3 +/- 3.3 days with PILG and 4.6 +/- 4.6 days with control (P =.9). Causes of death in the PILG group included sepsis and renal failure in one patient and pulmonary hypertension in the other. There were no safety issues, and the deaths in the PILG group did not appear to be related to the administration of perflubron. CONCLUSIONS: These data show that PILG can be performed safely. The survival rate, VFD, and time on ECMO data, although not conclusive, are encouraging and indicate the need for a definitive trial of this novel intervention in these neonates with high mortality.","10.1053/jpsu.2003.50095","https://doi.org/10.1053/jpsu.2003.50095","","","Combined Modality Therapy","","Extracorporeal Membrane Oxygenation","","Female","","Fluorocarbons","","Hernia, Diaphragmatic","","Hernias, Diaphragmatic, Congenital","","High-Frequency Ventilation","","Humans","","Hydrocarbons, Brominated","","Infant, Newborn","","Liquid Ventilation","","Lung","","Male","","Nitric Oxide","","Pilot Projects","","Prospective Studies","","Pulmonary Surfactants","","Respiration, Artificial","","Survival Rate","","Treatment Outcome","","","","","","","","","","","","","","","","","","","","",""
"12790372","Volume controlled apparatus for neonatal tidal liquid ventilation.","ASAIO J","","Corno C","Fiore GB","Martelli E","Dani C","Costantino ML","","","","","","","","","","","","","","","","","2003","May","","2003 May-Jun","Conventional gas ventilation is often unsuccessful for premature neonatal patients suffering from respiratory distress syndrome (RDS). For such patients, liquid ventilation (LV) with perfluorocarbon (PFC) liquids has been proposed. By eliminating the air-liquid interface in saccules (the premature gas exchange structures), where scarce or absent surfactant production exists, pulmonary instability is avoided, lung compliance is improved, and atelectatic saccules are recruited, ultimately lowering the saccular pressure. Tidal LV involves administrating a liquid tidal volume to the patient at each respiratory cycle, and therefore requires a dedicated circuital setup to deliver, withdraw, and refresh the PFC during the treatment. We have developed a prototype liquid breathing system (LBS). The apparatus comprises two subcircuits managed by a personal computer based control system. The ventilation subcircuit performs inspiration/expiration with two sets of peristaltic pumps. A system to evaluate the true inspired/expired volumes was devised that consists of two reservoirs equipped with pressure transducers measuring the hydraulic head of the fluid therein. Volume accuracy was +/- 0.3 ml. The refresh subcircuit properly processes the PFC by performing filtration (DFA, Pall, NY), oxygenation, CO2 scavenge, and heat exchange (SciMed 2500, Life Systems, MN). The new apparatus has been used in preliminary animal tests on five newborn mini pigs with induced acquired RDS. The PFC used was RM-101 (Miteni, Milano, Italy). The animals were successfully supported for 4 hours each. Mean arterial O2 pressure was 131.4 mm Hg (range 79.0-184.2), and mean arterial CO2 pressure was 64.8 mm Hg (range 60.0-73.4).","10.1097/01.mat.0000065375.16706.ff","https://doi.org/10.1097/01.mat.0000065375.16706.ff","","","Animals","","Animals, Newborn","","Carbon Dioxide","","Disease Models, Animal","","Fluorocarbons","","Humans","","Infant, Newborn","","Liquid Ventilation","","Oxygen","","Respiratory Distress Syndrome, Newborn","","Swine, Miniature","","Ventilators, Mechanical","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15167016","Approaches in the management of acute respiratory failure in children.","Curr Opin Pediatr","","Priestley MA","Helfaer MA","","","","","","","","","","","","","","","","","","","","2004","Jun","","2004 Jun","PURPOSE OF REVIEW: Acute lung injury (ALI) and acute respiratory distress syndrome (ARDS) are conditions that are associated with significant morbidity and mortality in children. There have been no advances in preventing ARDS, but this review highlights strategies directed at minimizing ventilator-induced lung injury and other new adjunctive therapies in the care of these patients. RECENT FINDINGS: High-frequency oscillatory ventilation, airway pressure release ventilation, and partial liquid ventilation are potential protective ventilatory modes for children with ALI or ARDS. Recruitment maneuvers, prone positioning, and kinetic therapy are all reported to improve oxygenation by opening the lung while positive end-expiratory pressure maintains functional residual capacity. Inhaled nitric oxide and surfactant are used to reduce inspired oxygen concentration and facilitate gas exchange, but their efficacy in ARDS continues to be investigated. Also, early investigations suggest that a specialized enteral formula can be a useful adjunctive therapy by reducing lung inflammation and improving oxygenation. When mechanical ventilation and adjunctive therapies fail, extracorporeal life support continues to be used as a rescue therapy. SUMMARY: It is likely that a combination of these therapies will maximize treatment and clinical outcomes in the future, but the only way that will be proven is through large controlled clinical trials in pediatric patients.","10.1097/01.mop.0000126602.23949.48","https://doi.org/10.1097/01.mop.0000126602.23949.48","","","Child","","Enteral Nutrition","","Extracorporeal Membrane Oxygenation","","High-Frequency Ventilation","","Humans","","Liquid Ventilation","","Nitric Oxide","","Prone Position","","Pulmonary Surfactants","","Respiratory Distress Syndrome","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15495062","Partial liquid ventilation for preventing death and morbidity in adults with acute lung injury and acute respiratory distress syndrome.","Cochrane Database Syst Rev","","Davies MW","Fraser JF","","","","","","","","","","","","","","","","","","","","2004","Oct","18","2004 Oct 18","BACKGROUND: Acute lung injury (ALI), and acute respiratory distress syndrome (ARDS), are syndromes of severe respiratory failure. Adults with ALI or ARDS have high mortality and significant morbidity. Partial liquid ventilation (PLV) may be better (i.e., cause less lung damage) for these patients than other forms of respiratory support. Uncontrolled studies in adults have shown improvement in gas exchange and lung compliance with partial liquid ventilation. OBJECTIVES: To assess whether partial liquid ventilation reduces morbidity and mortality in adults with ALI or ARDS. SEARCH STRATEGY: We searched The Cochrane Central Register of Controlled Trials (CENTRAL), The Cochrane Library Issue 2, 2004; MEDLINE (1966 to May 2004); and CINAHL (1982 to May 2004); intensive care journals and conference proceedings; reference lists and unpublished literature. SELECTION CRITERIA: Randomized controlled trials which compared partial liquid ventilation with other forms of ventilation, in adults (16 years old or greater) with ALI or ARDS, reporting one or more of the following: mortality; duration of mechanical ventilation, respiratory support, oxygen therapy, stay in the intensive care unit, or stay in hospital; infection; long term cognitive impairment or health related quality of life; long term lung function; or cost. DATA COLLECTION AND ANALYSIS: Two reviewers independently evaluated the quality of the relevant studies and extracted the data from the included studies. MAIN RESULTS: Problems with the inadequacy of the primary report of the one included study do not allow us to report any quantitative results for patients with ALI or ARDS. The only outcome we considered to be of clinical significance and reported for all enrolled patients (i.e., patients with ALI and ARDS and less severe respiratory insufficiency) was 28 day mortality. There was no statistically significant difference between groups for this outcome with a relative risk for 28 day mortality in the PLV group of 1.15 (95% confidence intervals of 0.64 to 2.10). REVIEWERS' CONCLUSIONS: There is no evidence from randomized controlled trials to support or refute the use of partial liquid ventilation in adults with ALI or ARDS; adequately powered, high quality randomized controlled trials are still needed to assess its efficacy. Clinically relevant outcome measures should be assessed (especially mortality at discharge and later, duration of respiratory support and hospital stay, and long term cognitive and quality of life outcomes) and the studies should be published in full.","10.1002/14651858.CD003707.pub2","https://doi.org/10.1002/14651858.CD003707.pub2","","","Adult","","Humans","","Liquid Ventilation","","Morbidity","","Randomized Controlled Trials as Topic","","Respiratory Distress Syndrome","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15505447","Comparison of cisatracurium and vecuronium by infusion in neonates and small infants after congenital heart surgery.","Anesthesiology","","Reich DL","Hollinger I","Harrington DJ","Seiden HS","Chakravorti S","Cook DR","","","","","","","","","","","","","","","","2004","Nov","","2004 Nov","BACKGROUND: Neonates and infants often require extended periods of mechanical ventilation facilitated by sedation and neuromuscular blockade. METHODS: Twenty-three patients aged younger than 2 yr were randomly assigned to receive either cisatracurium or vecuronium infusions postoperatively in a double-blinded fashion after undergoing congenital heart surgery. The infusion was titrated to maintain one twitch of a train-of-four. The times to full spontaneous recovery of train-of-four without fade, extubation, intensive care unit discharge, and hospital discharge were documented after drug discontinuation. Sparse sampling after termination of the infusion and a one-compartment model were used for pharmacokinetic analysis. The Mann-Whitney U test and Student t test were used to compare data between groups. RESULTS: There were no significant differences between groups with respect to demographic data or duration of postoperative neuromuscular blockade infusion. The median recovery time for train-of-four for cisatracurium (30 min) was less than that for vecuronium (180 min) (P < 0.05). Three patients in the vecuronium group had prolonged train-of-four recovery: Two had long elimination half-lives for vecuronium, and one had a high concentration of 3-OH vecuronium. There were no differences in extubation times, intensive care unit stays, or hospital stays between groups. CONCLUSIONS: Our results parallel data from adults demonstrating a markedly shorter recovery of neuromuscular transmission after cisatracurium compared with vecuronium. Decreased clearance of vecuronium and the accumulation of 3-OH vecuronium may contribute to prolonged spontaneous recovery times. Cisatracurium is associated with faster spontaneous recovery of neuromuscular function compared with vecuronium but not with any differences in intermediate outcome measures in neonates and infants.","10.1097/00000542-200411000-00011","https://doi.org/10.1097/00000542-200411000-00011","","","Atracurium","","Biotransformation","","Cardiac Surgical Procedures","","Chromatography, High Pressure Liquid","","Double-Blind Method","","Half-Life","","Heart Defects, Congenital","","Humans","","Infant","","Infant, Newborn","","Intensive Care Units","","Length of Stay","","Monitoring, Intraoperative","","Neuromuscular Nondepolarizing Agents","","Synaptic Transmission","","Vecuronium Bromide","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15668937","Blood transfusion and pulmonary lipid peroxidation in ventilated premature babies.","Pediatr Pulmonol","","Collard KJ","Godeck S","Holley JE","","","","","","","","","","","","","","","","","","","2005","Mar","","2005 Mar","Urinary malondialdehyde (MDA; a biochemical marker of lipid peroxidation) is increased following the receipt of blood transfusions in premature babies. This indicates an increased level of oxidative damage somewhere in the body. The aim of this study was to determine whether the lung may be a site of increased oxidative damage following blood transfusions. This was achieved by examining the relationship between blood transfusion and levels of MDA in bronchoalveolar lavage (BAL) fluid from ventilated premature babies. The study was a retrospective analysis of data obtained from a group of 42 ventilated premature babies of less than 32 weeks' gestation. Twenty-seven babies received blood transfusions, and 9 received at least one transfusion during the first week of life when daily BAL samples were being taken. Pulmonary epithelial lining fluid (ELF) was sampled by BAL daily during the first week of life and weekly thereafter. MDA was measured by an established high performance liquid chromatography (HPLC) technique. There was a significant positive correlation between volume of blood transfusions received and peak and mean ELF MDA levels (r=0.810, peak; r=0.740, mean; n=21). During the first week of life, when daily samples were being taken, the mean ELF MDA level after blood transfusion (1.829 microM; SE, 0.529) was significantly greater than before transfusion (0.928 microM; SE, 0.297) (n=9). In babies who received 2 transfusions within the first week (n=5), the MDA level was elevated further following the second transfusion (2.825 microM; SE, 0.346). The results of this study indicate that pulmonary oxidative damage increases after the receipt of blood transfusions. Babies receiving blood transfusions show a greater incidence of pulmonary oxidative stress and poor clinical outcome. This may simply reflect that the sickest babies are those most in need of blood transfusion, and that there is no causal relationship. However, the possibility of a causal relationship between blood transfusions and oxidative damage exists and should be investigated.","10.1002/ppul.20190","https://doi.org/10.1002/ppul.20190","","","Biomarkers","","Blood Transfusion","","Bronchoalveolar Lavage Fluid","","Bronchopulmonary Dysplasia","","Gestational Age","","Humans","","Infant, Newborn","","Infant, Premature","","Infant, Premature, Diseases","","Lipid Peroxidation","","Lung","","Malondialdehyde","","Outcome and Process Assessment, Health Care","","Respiration, Artificial","","Retrospective Studies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16128914","Near-fatal amitraz intoxication: the overlooked pesticide.","Basic Clin Pharmacol Toxicol","","Elinav E","Shapira Y","Ofran Y","Hassin T","Ben-Dov IZ","","","","","","","","","","","","","","","","","2005","Sep","","2005 Sep","Amitraz is commonly used in agricultural industries throughout the world as a farm-animal insecticide. Despite its widespread use, amitraz intoxication is extremely rare and mainly occurs through accidental ingestion by young children. Severe, life-threatening amitraz intoxication in adults is very rarely recognized and reported. Described herein is a previously healthy 54-year-old patient who accidentally ingested a mouthful of liquid amitraz concentrate, and rapidly developed life-threatening clonidine-like overdose syndrome, manifested as nausea, vomiting, hypotension, bradycardia, bradypnoea, and deep coma. Supportive treatment, including mechanical ventilation, and atropine administration resulted in full recovery within 48 hr. Very few cases of near-fatal amitraz poisoning in adults have been described in the medical literature, leading to low awareness of physicians in general practice to the potential toxicity of amitraz. As a consequence, cases of amitraz poisoning are not recognised and therefore erroneously treated as the much more commonly recognized organophosphate and carbamate intoxication. In our discussion, we review the clinical and laboratory manifestations of amitraz poisoning, including clinical hints that aid in the recognition of this often-overlooked diagnosis. Differentiation of amitraz intoxication from the much more commonly seen pesticide-related organophosphate and carbamate intoxication is of utmost importance, in order to avoid erroneous, unnecessary, and often dangerous treatment.","10.1111/j.1742-7843.2005.pto_97399.x","https://doi.org/10.1111/j.1742-7843.2005.pto_97399.x","","","Atropine","","Bradycardia","","Coma","","Diagnosis, Differential","","Humans","","Hyperglycemia","","Hypotension","","Insecticides","","Male","","Middle Aged","","Muscarinic Antagonists","","Poisoning","","Respiration, Artificial","","Toluidines","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16909375","Acute lung injury and acute respiratory distress syndrome: extracorporeal life support and liquid ventilation for severe acute respiratory distress syndrome in adults.","Semin Respir Crit Care Med","","Brown JK","Haft JW","Bartlett RH","Hirschl RB","","","","","","","","","","","","","","","","","","2006","Aug","","2006 Aug","Acute respiratory distress syndrome (ARDS) has many underlying causes and carries an overall mortality of 40 to 60%. For those patients with severe ARDS who have a predicted mortality of 80 to 100%, extracorporeal life support (ECLS) can provide an extraordinary means of support. We recently demonstrated a survival to hospital discharge of 52% in this subset of patients. ECLS is capable of providing full respiratory and cardiac support, allowing time for the patient to recover from the underlying disease process. Additionally, ventilator settings are reduced to ""rest"" settings, avoiding the consequences of ventilator-induced lung injury that can contribute to a worse outcome. Systemic heparinization is a mainstay of ECLS therapy because of platelet activation in the circuit. Mechanical complications and significant bleeding can occur in up to one quarter of patients, requiring close attention and prompt intervention should they occur. Although not currently in clinical practice, liquid ventilation using perfluorocarbons to provide gas exchange in the lungs is a potentially useful adjunct in the management of severe respiratory failure.","10.1055/s-2006-948295","https://doi.org/10.1055/s-2006-948295","","","Extracorporeal Membrane Oxygenation","","Humans","","Liquid Ventilation","","Pulmonary Gas Exchange","","Respiratory Distress Syndrome","","Survival Rate","","Treatment Outcome","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18362053","Gas exchange during perfluorocarbon liquid immersion: life-support for the ex utero fetus.","Med Hypotheses","","Davies MW","Dunster KR","Wilson K","","","","","","","","","","","","","","","","","","","2008","","","2008","BACKGROUND: Respiratory mortality and morbidity remain major consequences of extreme prematurity. Percutaneous transfer of oxygen and carbon dioxide is possible in the newborn human. Perfluorocarbon (PFC) liquids have excellent oxygen and carbon dioxide carrying capacity. Animals can breath immersed in perfluorocarbon liquids and maintain adequate gas exchange. Our hypothesis is that the combination of spontaneous tidal perfluorocarbon breathing and respiration through the skin immersed in perfluorocarbon will allow adequate gas exchange in the preterm newborn. In this pilot study we aimed to observe the effects of immersion in FC-77 perfluorocarbon liquid on the preterm lamb. PILOT DATA: Four preterm lambs at 100-115 days gestation were delivered using a modified EXIT procedure. Immediately after complete delivery, the catheterised lamb was immersed in warm, oxygenated FC-77 perfluorocarbon liquid. Physiological monitoring was done for up to 60 min. All lambs were warmed adequately and seemed to have centrally intact circulation initially. All had little or no respiratory effort and there was no appreciable lung expansion. All had severe respiratory acidosis. DISCUSSION: For the provision of immediate ex utero care to the 'fetus' there are three requirements: adequate gas exchange surfaces and sufficient oxygen and carbon dioxide gradients, a functioning circulation, and an environment capable of keeping the lamb warm (thus minimising metabolic demand, oxygen consumption and carbon dioxide production). In this pilot study the greatest initial problem was the severe and rapidly worsening respiratory acidosis. The major problem was a lack of respiratory drive. No lung expansion from the outset would yield zero contribution to gas exchange from the lungs. An intact central circulation does not necessarily mean that the pulmonary circulation, respiratory drive and/or the skin circulation are adequate. For adequate gas exchange to occur it will require a 'breathing' animal with expanded alveoli. If the transition from the normal in utero state to immersion in PFC was immediate, and lung expansion was achieved, it could still be possible to achieve adequate gas exchange through the skin and lungs of the extremely preterm newborn. HYPOTHESIS: Given the potential for gas exchange across the skin of the extremely preterm infant we hypothesise that the immersion of extremely preterm infants in PFC liquid will allow optimal percutaneous gas exchange to occur. Given some lung gas exchange with less injurious liquid ventilation (spontaneous or mechanical) we hypothesise that the combination of skin and lung gas exchange will provide sufficient gas exchange to support life.","10.1016/j.mehy.2008.02.005","https://doi.org/10.1016/j.mehy.2008.02.005","","","Animals","","Animals, Newborn","","Female","","Fetus","","Fluorocarbons","","Gestational Age","","Humans","","Immersion","","Infant, Newborn","","Life Support Care","","Models, Biological","","Pregnancy","","Pulmonary Gas Exchange","","Sheep","","Skin Physiological Phenomena","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21089711","Reclutamento alveolare in sala parto: la sustained lung inflation. (Alveolar recruitment in the delivery room: sustained lung inflation).","Minerva Pediatr","","Lista G","Castoldi F","","","","","","","","","","","","","","","","","","","","2010","Jun","","2010 Jun","At birth the transition by the fetal situation to neonatal life occurs. The real mechanism of lung liquid reabsorption and lung aereation at birth, in the past attributed only to the epithelial sodium channel function, has recently been linked to the first important breaths too and to the following changes in transpulmonary pressure. If this quite easily happens in the term baby, the preterm infants and all the babies with poor respiratory effort may have a delayed achievement of an adequate functional residual capacity (FRC). Premature delivery is always associated to the failure of respiratory transition and preterm babies frequently need a respiratory support (e.g., N-CPAP). Actual recommendations do not consider to mimic the physiologic changes that usually happen to the term neonate at birth. The application at birth of the sustained lung inflation (SLI) (a peak pressure of 25-30 cm H2O for 10-20 seconds), with nasopharyngeal tube or an adequately sized mask and a Neo-puff device, followed by the application of a continuous adequate PEEP (e.g., 5 cmH2O) is effective in the achievement of the FRC in animal studies and in the reduction of the need of mechanical ventilation (MV) in preterm infants at risk for RDS. Large RCTs are needed to verify the real efficacy of SLI in the delivery room to prevent the need of mechanical ventilation and to improve respiratory outcomes of preterm infants at risk for RDS.","","","","","Animals","","Delivery Rooms","","Epithelial Cells","","Female","","Functional Residual Capacity","","Gestational Age","","Humans","","Infant, Low Birth Weight","","Infant, Newborn","","Infant, Premature","","Positive-Pressure Respiration","","Pregnancy","","Premature Birth","","Pressure","","Pulmonary Alveoli","","Respiratory Distress Syndrome, Newborn","","Respiratory Physiological Phenomena","","Retrospective Studies","","","","","","","","","","","","","","","","","","","","","","","","",""
